youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,120,0.3333333333333333,2018:06:17 13:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:17 13:00:00
0007,25.0330388889,121.565619444,80,48,0.4,2018:06:17 13:00:00
0011,25.034937,121.55762,66,35,0.4696969696969697,2018:06:17 13:00:00
0088,25.032922, 121.57087,62,28,0.5483870967741935,2018:06:17 13:00:00
0132,25.01603085,121.5331757,88,52,0.4090909090909091,2018:06:17 13:00:00
0163,25.018097,121.559279,72,29,0.5972222222222222,2018:06:17 13:00:00
0030,25.017054,121.544352,74,30,0.5945945945945946,2018:06:17 13:00:00
0036,25.02101,121.54153,72,45,0.375,2018:06:17 13:00:00
0083,25.033156,121.535161,74,49,0.33783783783783783,2018:06:17 13:00:00
0176,25.055997 ,121.542318 ,98,48,0.5102040816326531,2018:06:17 13:00:00
0162,25.062924,121.52772,70,14,0.8,2018:06:17 13:00:00
0121,25.05298,121.540568,66,42,0.36363636363636365,2018:06:17 13:00:00
0021,25.057985,121.548982,66,32,0.5151515151515151,2018:06:17 13:00:00
0015,25.049845,121.571885,60,17,0.7166666666666667,2018:06:17 13:00:00
0050,25.062002,121.560186,52,22,0.5769230769230769,2018:06:17 13:00:00
0175,25.051618 ,121.544847 ,52,37,0.28846153846153844,2018:06:17 13:00:00
0170,25.059245,121.568883,50,18,0.64,2018:06:17 13:00:00
0046,25.05646,121.611027 ,44,29,0.3409090909090909,2018:06:17 13:00:00
0026,25.050142,121.592375,42,20,0.5238095238095238,2018:06:17 13:00:00
0115,25.048222,121.520526,68,46,0.3235294117647059,2018:06:17 13:00:00
0186,25.035414 ,121.514218 ,82,38,0.5365853658536586,2018:06:17 13:00:00
0082,25.041778,121.508693 ,60,41,0.31666666666666665,2018:06:17 13:00:00
0080,25.02751,121.495869,44,17,0.6136363636363636,2018:06:17 13:00:00
0120,25.035479,121.50026,46,22,0.5217391304347826,2018:06:17 13:00:00
0090,25.037783,121.501708,44,8,0.8181818181818182,2018:06:17 13:00:00
0143,24.997659,121.578752,72,37,0.4861111111111111,2018:06:17 13:00:00
0144,24.988363,121.576536,70,30,0.5714285714285714,2018:06:17 13:00:00
0142,24.997747,121.574214,52,22,0.5769230769230769,2018:06:17 13:00:00
0094,24.993254,121.541059,52,31,0.40384615384615385,2018:06:17 13:00:00
0098,24.999378,121.540197,42,28,0.3333333333333333,2018:06:17 13:00:00
0078,25.071824,121.519287,52,45,0.1346153846153846,2018:06:17 13:00:00
0079,25.061285,121.520205,50,26,0.48,2018:06:17 13:00:00
0140,25.063404,121.512909,46,18,0.6086956521739131,2018:06:17 13:00:00
0099,25.057866,121.520711,42,33,0.21428571428571427,2018:06:17 13:00:00
0134,25.10336,121.522629,64,51,0.203125,2018:06:17 13:00:00
0188,25.090293 ,121.501890 ,56,36,0.35714285714285715,2018:06:17 13:00:00
0097,25.082825,121.524721,52,37,0.28846153846153844,2018:06:17 13:00:00
0167,25.095714,121.518046,50,28,0.44,2018:06:17 13:00:00
0122,25.079666,121.57584,50,23,0.54,2018:06:17 13:00:00
0129,25.078424,121.58456,50,19,0.62,2018:06:17 13:00:00
0191,25.083873,121.60206,58,28,0.5172413793103449,2018:06:17 13:00:00
0148,25.110331,121.518316,68,36,0.47058823529411764,2018:06:17 13:00:00
0164,25.126286,121.500801,56,33,0.4107142857142857,2018:06:17 13:00:00
0117,25.132581,121.498618,58,44,0.2413793103448276,2018:06:17 13:00:00
