youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,57,0.6833333333333333,2018:06:12 03:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:12 03:00:00
0007,25.0330388889,121.565619444,80,2,0.975,2018:06:12 03:00:00
0011,25.034937,121.55762,66,50,0.24242424242424243,2018:06:12 03:00:00
0088,25.032922, 121.57087,62,11,0.8225806451612904,2018:06:12 03:00:00
0132,25.01603085,121.5331757,88,1,0.9886363636363636,2018:06:12 03:00:00
0163,25.018097,121.559279,72,60,0.16666666666666666,2018:06:12 03:00:00
0030,25.017054,121.544352,74,18,0.7567567567567568,2018:06:12 03:00:00
0036,25.02101,121.54153,72,1,0.9861111111111112,2018:06:12 03:00:00
0083,25.033156,121.535161,74,12,0.8378378378378378,2018:06:12 03:00:00
0176,25.055997 ,121.542318 ,98,73,0.25510204081632654,2018:06:12 03:00:00
0162,25.062924,121.52772,70,42,0.4,2018:06:12 03:00:00
0121,25.05298,121.540568,66,12,0.8181818181818182,2018:06:12 03:00:00
0021,25.057985,121.548982,66,7,0.8939393939393939,2018:06:12 03:00:00
0015,25.049845,121.571885,60,45,0.25,2018:06:12 03:00:00
0050,25.062002,121.560186,52,29,0.4423076923076923,2018:06:12 03:00:00
0175,25.051618 ,121.544847 ,52,6,0.8846153846153846,2018:06:12 03:00:00
0170,25.059245,121.568883,50,33,0.34,2018:06:12 03:00:00
0046,25.05646,121.611027 ,44,6,0.8636363636363636,2018:06:12 03:00:00
0026,25.050142,121.592375,42,5,0.8809523809523809,2018:06:12 03:00:00
0115,25.048222,121.520526,68,43,0.36764705882352944,2018:06:12 03:00:00
0186,25.035414 ,121.514218 ,82,14,0.8292682926829268,2018:06:12 03:00:00
0082,25.041778,121.508693 ,60,8,0.8666666666666667,2018:06:12 03:00:00
0080,25.02751,121.495869,44,15,0.6590909090909091,2018:06:12 03:00:00
0120,25.035479,121.50026,46,16,0.6521739130434783,2018:06:12 03:00:00
0090,25.037783,121.501708,44,33,0.25,2018:06:12 03:00:00
0143,24.997659,121.578752,72,25,0.6527777777777778,2018:06:12 03:00:00
0144,24.988363,121.576536,70,35,0.5,2018:06:12 03:00:00
0142,24.997747,121.574214,52,14,0.7307692307692307,2018:06:12 03:00:00
0094,24.993254,121.541059,52,16,0.6923076923076923,2018:06:12 03:00:00
0098,24.999378,121.540197,42,24,0.42857142857142855,2018:06:12 03:00:00
0078,25.071824,121.519287,52,21,0.5961538461538461,2018:06:12 03:00:00
0079,25.061285,121.520205,50,22,0.56,2018:06:12 03:00:00
0140,25.063404,121.512909,46,18,0.6086956521739131,2018:06:12 03:00:00
0099,25.057866,121.520711,42,6,0.8571428571428571,2018:06:12 03:00:00
0134,25.10336,121.522629,64,12,0.8125,2018:06:12 03:00:00
0188,25.090293 ,121.501890 ,56,43,0.23214285714285715,2018:06:12 03:00:00
0097,25.082825,121.524721,52,8,0.8461538461538461,2018:06:12 03:00:00
0167,25.095714,121.518046,50,14,0.72,2018:06:12 03:00:00
0122,25.079666,121.57584,50,24,0.52,2018:06:12 03:00:00
0129,25.078424,121.58456,50,40,0.2,2018:06:12 03:00:00
0191,25.083873,121.60206,58,20,0.6551724137931034,2018:06:12 03:00:00
0148,25.110331,121.518316,68,34,0.5,2018:06:12 03:00:00
0164,25.126286,121.500801,56,7,0.875,2018:06:12 03:00:00
0117,25.132581,121.498618,58,8,0.8620689655172413,2018:06:12 03:00:00
