youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,42,0.7666666666666667,2018:06:18 05:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:18 05:00:00
0007,25.0330388889,121.565619444,80,14,0.825,2018:06:18 05:00:00
0011,25.034937,121.55762,66,49,0.25757575757575757,2018:06:18 05:00:00
0088,25.032922, 121.57087,62,44,0.2903225806451613,2018:06:18 05:00:00
0132,25.01603085,121.5331757,88,64,0.2727272727272727,2018:06:18 05:00:00
0163,25.018097,121.559279,72,53,0.2638888888888889,2018:06:18 05:00:00
0030,25.017054,121.544352,74,34,0.5405405405405406,2018:06:18 05:00:00
0036,25.02101,121.54153,72,12,0.8333333333333334,2018:06:18 05:00:00
0083,25.033156,121.535161,74,61,0.17567567567567569,2018:06:18 05:00:00
0176,25.055997 ,121.542318 ,98,84,0.14285714285714285,2018:06:18 05:00:00
0162,25.062924,121.52772,70,59,0.15714285714285714,2018:06:18 05:00:00
0121,25.05298,121.540568,66,36,0.45454545454545453,2018:06:18 05:00:00
0021,25.057985,121.548982,66,20,0.696969696969697,2018:06:18 05:00:00
0015,25.049845,121.571885,60,29,0.5166666666666667,2018:06:18 05:00:00
0050,25.062002,121.560186,52,33,0.36538461538461536,2018:06:18 05:00:00
0175,25.051618 ,121.544847 ,52,22,0.5769230769230769,2018:06:18 05:00:00
0170,25.059245,121.568883,50,33,0.34,2018:06:18 05:00:00
0046,25.05646,121.611027 ,44,21,0.5227272727272727,2018:06:18 05:00:00
0026,25.050142,121.592375,42,20,0.5238095238095238,2018:06:18 05:00:00
0115,25.048222,121.520526,68,33,0.5147058823529411,2018:06:18 05:00:00
0186,25.035414 ,121.514218 ,82,36,0.5609756097560976,2018:06:18 05:00:00
0082,25.041778,121.508693 ,60,32,0.4666666666666667,2018:06:18 05:00:00
0080,25.02751,121.495869,44,23,0.4772727272727273,2018:06:18 05:00:00
0120,25.035479,121.50026,46,8,0.8260869565217391,2018:06:18 05:00:00
0090,25.037783,121.501708,44,28,0.36363636363636365,2018:06:18 05:00:00
0143,24.997659,121.578752,72,41,0.4305555555555556,2018:06:18 05:00:00
0144,24.988363,121.576536,70,48,0.3142857142857143,2018:06:18 05:00:00
0142,24.997747,121.574214,52,14,0.7307692307692307,2018:06:18 05:00:00
0094,24.993254,121.541059,52,23,0.5576923076923077,2018:06:18 05:00:00
0098,24.999378,121.540197,42,28,0.3333333333333333,2018:06:18 05:00:00
0078,25.071824,121.519287,52,16,0.6923076923076923,2018:06:18 05:00:00
0079,25.061285,121.520205,50,6,0.88,2018:06:18 05:00:00
0140,25.063404,121.512909,46,27,0.41304347826086957,2018:06:18 05:00:00
0099,25.057866,121.520711,42,10,0.7619047619047619,2018:06:18 05:00:00
0134,25.10336,121.522629,64,11,0.828125,2018:06:18 05:00:00
0188,25.090293 ,121.501890 ,56,47,0.16071428571428573,2018:06:18 05:00:00
0097,25.082825,121.524721,52,7,0.8653846153846154,2018:06:18 05:00:00
0167,25.095714,121.518046,50,26,0.48,2018:06:18 05:00:00
0122,25.079666,121.57584,50,31,0.38,2018:06:18 05:00:00
0129,25.078424,121.58456,50,22,0.56,2018:06:18 05:00:00
0191,25.083873,121.60206,58,45,0.22413793103448276,2018:06:18 05:00:00
0148,25.110331,121.518316,68,46,0.3235294117647059,2018:06:18 05:00:00
0164,25.126286,121.500801,56,13,0.7678571428571429,2018:06:18 05:00:00
0117,25.132581,121.498618,58,20,0.6551724137931034,2018:06:18 05:00:00
