youbike_stop_num,lat,lng,road_section_id,road_avg_speed,time
0001,25.0408578889,121.567904444,ZJERC60,42.438774,2018:06:14 11:00:00
0006,25.0347361111,121.565658333,ZI9RI40,33.873016,2018:06:14 11:00:00
0007,25.0330388889,121.565619444,ZHJRJ60,38.714287,2018:06:14 11:00:00
0011,25.034937,121.55762,ZHKPV40,35.603176,2018:06:14 11:00:00
0088,25.032922, 121.57087,ZHJRJ60,38.714287,2018:06:14 11:00:00
0132,25.01603085,121.5331757,ZCPKT40,46.113045,2018:06:14 11:00:00
0163,25.018097,121.559279,ZEUPN60,39.27027,2018:06:14 11:00:00
0030,25.017054,121.544352,ZEFMN40,41.372093,2018:06:14 11:00:00
0036,25.02101,121.54153,ZF9KW60,52.015873,2018:06:14 11:00:00
0083,25.033156,121.535161,ZHMKV20,19.11111,2018:06:14 11:00:00
0176,25.055997 ,121.542318 ,ZLZM900,47.464287,2018:06:14 11:00:00
0162,25.062924,121.52772,ZP6IG60,45.0,2018:06:14 11:00:00
0121,25.05298,121.540568,ZMDLH20,35.166668,2018:06:14 11:00:00
0021,25.057985,121.548982,ZNUNJ00,42.7907,2018:06:14 11:00:00
0015,25.049845,121.571885,ZKQQY20,41.142857,2018:06:14 11:00:00
0050,25.062002,121.560186,ZNXPC60,52.051548,2018:06:14 11:00:00
0175,25.051618 ,121.544847 ,ZLPN800,51.384106,2018:06:14 11:00:00
0170,25.059245,121.568883,ZN7ST40,49.933334,2018:06:14 11:00:00
0046,25.05646,121.611027 ,ZMH3J60,39.975903,2018:06:14 11:00:00
0026,25.050142,121.592375,ZLEWS20,40.783333,2018:06:14 11:00:00
0115,25.048222,121.520526,ZKVHI20,38.138462,2018:06:14 11:00:00
0186,25.035414 ,121.514218 ,ZHWGD40,51.909092,2018:06:14 11:00:00
0082,25.041778,121.508693 ,ZJPEI60,59.857143,2018:06:14 11:00:00
0080,25.02751,121.495869,ZGKCG40,42.97778,2018:06:14 11:00:00
0120,25.035479,121.50026,ZHZDJ20,26.693548,2018:06:14 11:00:00
0090,25.037783,121.501708,ZIDDL00,47.727272,2018:06:14 11:00:00
0143,24.997659,121.578752,Z2AT940,48.272728,2018:06:14 11:00:00
0144,24.988363,121.576536,Z1TT960,30.92,2018:06:14 11:00:00
0142,24.997747,121.574214,Z2LSS20,51.515152,2018:06:14 11:00:00
0094,24.993254,121.541059,Z2KLN40,34.842594,2018:06:14 11:00:00
0098,24.999378,121.540197,Z2WKS40,34.545456,2018:06:14 11:00:00
0078,25.071824,121.519287,ZR8GZ40,47.837837,2018:06:14 11:00:00
0079,25.061285,121.520205,ZP8GI20,24.013334,2018:06:14 11:00:00
0140,25.063404,121.512909,ZP8FZ40,41.986668,2018:06:14 11:00:00
0099,25.057866,121.520711,ZMTHB20,34.53846,2018:06:14 11:00:00
0134,25.10336,121.522629,ZYSIB00,38.272728,2018:06:14 11:00:00
0188,25.090293 ,121.501890 ,ZTWD760,37.48077,2018:06:14 11:00:00
0097,25.082825,121.524721,ZR8GZ40,47.837837,2018:06:14 11:00:00
0167,25.095714,121.518046,ZV9IP40,49.125,2018:06:14 11:00:00
0122,25.079666,121.57584,ZSXTK20,41.575756,2018:06:14 11:00:00
0129,25.078424,121.58456,ZSSWC60,42.724636,2018:06:14 11:00:00
0191,25.083873,121.60206,ZTZY920,37.775,2018:06:14 11:00:00
0148,25.110331,121.518316,ZY9H840,48.811474,2018:06:14 11:00:00
0164,25.126286,121.500801,Z7JCE40,49.971428,2018:06:14 11:00:00
0117,25.132581,121.498618,Z7JCE40,49.971428,2018:06:14 11:00:00
